//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
sigma_WW@206.6,sigma_1@206.6,sigma_2@206.6,sigma_3@206.6,sigma_4@206.6,sigma_5@206.6,sigma_6@206.6,sigma_7@206.6,sigma_8@206.6,sigma_9@206.6,sigma_10@206.6
//different energy is seperated to different matrix
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH

//Matrix:
0.0368675, 0.0302617, 0.0278984, 0.0253211, 0.0231953, 0.0222478, 0.021003, 0.0203951
 -0.00882044, -0.00724004, -0.00667462, -0.006058, -0.00554941, -0.00532272, -0.00502492, -0.00487947
 -0.0429006, -0.0352139, -0.0324639, -0.0294647, -0.0269911, -0.0258885, -0.0244401, -0.0237327
 0.000867942, 0.000712428, 0.00065679, 0.000596114, 0.000546069, 0.000523762, 0.000494458, 0.000480146
 0.00261569, 0.00214703, 0.00197935, 0.00179649, 0.00164567, 0.00157845, 0.00149014, 0.001447
 -0.000684443, -0.000561808, -0.000517933, -0.000470085, -0.00043062, -0.000413029, -0.000389921, -0.000378634
 -0.0167595, -0.0137566, -0.0126823, -0.0115107, -0.0105443, -0.0101136, -0.00954773, -0.00927137
 0.992889, 0.814988, 0.751341, 0.68193, 0.62468, 0.599162, 0.565639, 0.549267
 1.21119, 0.994175, 0.916534, 0.831862, 0.762024, 0.730896, 0.690003, 0.670031
 2.19324, 1.80027, 1.65967, 1.50635, 1.37989, 1.32352, 1.24947, 1.2133
 -0.605595, -0.497088, -0.458267, -0.415931, -0.381012, -0.365448, -0.345002, -0.335016
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0.00234022, 0.00192092, 0.0017709, 0.0016073, 0.00147236, 0.00141222, 0.0013332, 0.00129461
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.
 -0.0028305, -0.00232335, -0.0021419, -0.00194403, -0.00178082, -0.00170808, -0.00161251, -0.00156584
 0., 0., 0., 0., 0., 0., 0., 0.
 0., 0., 0., 0., 0., 0., 0., 0.

