// This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
AFB_m_1,AFB_m_2,AFB_m_3,AFB_m_4,AFB_m_5,AFB_m_6,AFB_m_7,AFB_m_8,AFB_m_9,AFB_m_10,AFB_m_11,AFB_m_12,AFB_ta_1,AFB_ta_2,AFB_ta_3,AFB_ta_4,AFB_ta_5,AFB_ta_6,AFB_ta_7,AFB_ta_8,AFB_ta_9,AFB_ta_10,AFB_ta_11,AFB_ta_12
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH

//Matrix:
-0.000295693,-0.000333236,-0.000427869,-0.000441646,-0.000445124,-0.00045191,-0.000449828,-0.000452729,-0.000449967,-0.000453276,-0.000449084,-0.000445823,-0.000295693,-0.000333236,-0.000427869,-0.000441646,-0.000445124,-0.00045191,-0.000449828,-0.000452729,-0.000449967,-0.000453276,-0.000449084,-0.000445823
-1.06561e-05,7.85817e-07,3.26868e-05,4.22605e-05,4.9917e-05,5.44968e-05,5.61107e-05,5.8853e-05,6.08585e-05,6.25918e-05,6.38379e-05,6.42686e-05,-1.06561e-05,7.85817e-07,3.26868e-05,4.22605e-05,4.9917e-05,5.44968e-05,5.61107e-05,5.8853e-05,6.08585e-05,6.25918e-05,6.38379e-05,6.42686e-05
0.00033615,0.000379032,0.000488277,0.000504916,0.000509917,0.000518322,0.000516269,0.000520052,0.00051736,0.00052144,0.000517025,0.000513477,0.00033615,0.000379032,0.000488277,0.000504916,0.000509917,0.000518322,0.000516269,0.000520052,0.00051736,0.00052144,0.000517025,0.000513477
-4.92067e-06,-5.55899e-06,-7.19163e-06,-7.44428e-06,-7.52403e-06,-7.65101e-06,-7.62211e-06,-7.67972e-06,-7.64167e-06,-7.70284e-06,-7.6389e-06,-7.5871e-06,-4.92067e-06,-5.55899e-06,-7.19163e-06,-7.44428e-06,-7.52403e-06,-7.65101e-06,-7.62211e-06,-7.67972e-06,-7.64167e-06,-7.70284e-06,-7.6389e-06,-7.5871e-06
-1.42026e-05,-1.14923e-05,1.10707e-06,6.6102e-06,1.18883e-05,1.503e-05,1.64737e-05,1.85813e-05,2.05399e-05,2.18551e-05,2.33537e-05,2.40394e-05,-1.42026e-05,-1.14923e-05,1.10707e-06,6.6102e-06,1.18883e-05,1.503e-05,1.64737e-05,1.85813e-05,2.05399e-05,2.18551e-05,2.33537e-05,2.40394e-05
-6.61327e-06,-6.32345e-06,-5.92616e-06,-5.63678e-06,-5.28234e-06,-5.15693e-06,-5.03273e-06,-4.93696e-06,-4.77932e-06,-4.74504e-06,-4.60246e-06,-4.52061e-06,-6.61327e-06,-6.32345e-06,-5.92616e-06,-5.63678e-06,-5.28234e-06,-5.15693e-06,-5.03273e-06,-4.93696e-06,-4.77932e-06,-4.74504e-06,-4.60246e-06,-4.52061e-06
2.2598e-05,3.45388e-05,8.81764e-05,0.000110954,0.00013282,0.000147408,0.000153304,0.000163133,0.000171441,0.000177991,0.000184143,0.000186757,2.2598e-05,3.45388e-05,8.81764e-05,0.000110954,0.00013282,0.000147408,0.000153304,0.000163133,0.000171441,0.000177991,0.000184143,0.000186757
-0.00707247,-0.00794558,-0.0100706,-0.0103899,-0.0103183,-0.0106212,-0.0106756,-0.0107892,-0.0107622,-0.0108987,-0.0108276,-0.010817,-0.00707247,-0.00794558,-0.0100706,-0.0103899,-0.0103183,-0.0106212,-0.0106756,-0.0107892,-0.0107622,-0.0108987,-0.0108276,-0.010817
0.00196771,0.00188348,0.00112188,0.00133275,0.00159283,0.00164634,0.0015589,0.00131605,0.00139572,0.00132049,0.00155915,0.00134797,0.00196771,0.00188348,0.00112188,0.00133275,0.00159283,0.00164634,0.0015589,0.00131605,0.00139572,0.00132049,0.00155915,0.00134797
0.0029035,0.00298466,0.00331564,0.00276206,0.00210347,0.00200937,0.00279299,0.00288237,0.00198469,0.00241208,0.00220639,0.00176104,0.0029035,0.00298466,0.00331564,0.00276206,0.00210347,0.00200937,0.00279299,0.00288237,0.00198469,0.00241208,0.00220639,0.00176104
0.0245533,0.0327021,0.066946,0.0816981,0.0961033,0.105932,0.108009,0.116569,0.121606,0.123431,0.128392,0.130872,0.0245533,0.0327021,0.066946,0.0816981,0.0961033,0.105932,0.108009,0.116569,0.121606,0.123431,0.128392,0.130872
0.0111811,0.0157582,0.0464021,0.0607096,0.0753145,0.0838829,0.087569,0.0967625,0.100977,0.10233,0.107852,0.109493,0.0111811,0.0157582,0.0464021,0.0607096,0.0753145,0.0838829,0.087569,0.0967625,0.100977,0.10233,0.107852,0.109493
0.0297825,0.0339181,0.0420985,0.0435195,0.0437778,0.0441769,0.04437,0.0445974,0.0447684,0.0447149,0.0448376,0.0445041,0.0297825,0.0339181,0.0420985,0.0435195,0.0437778,0.0441769,0.04437,0.0445974,0.0447684,0.0447149,0.0448376,0.0445041
-0.0534944,-0.0707181,-0.138826,-0.168496,-0.197562,-0.213836,-0.224167,-0.234591,-0.247284,-0.254155,-0.264193,-0.268832,-0.0534944,-0.0707181,-0.138826,-0.168496,-0.197562,-0.213836,-0.224167,-0.234591,-0.247284,-0.254155,-0.264193,-0.268832
-0.0317715,-0.0356043,-0.0440506,-0.0449448,-0.0459634,-0.0456929,-0.0460915,-0.0460189,-0.046468,-0.0462284,-0.0462761,-0.0462629,-0.0317715,-0.0356043,-0.0440506,-0.0449448,-0.0459634,-0.0456929,-0.0460915,-0.0460189,-0.046468,-0.0462284,-0.0462761,-0.0462629
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0100952,0.0139798,0.0426455,0.0552472,0.0680839,0.0785642,0.08092,0.0871778,0.0915278,0.0957687,0.0990548,0.100709,0.0100952,0.0139798,0.0426455,0.0552472,0.0680839,0.0785642,0.08092,0.0871778,0.0915278,0.0957687,0.0990548,0.100709
