//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
sigma_WW@206.6,sigma_1@206.6,sigma_2@206.6,sigma_3@206.6,sigma_4@206.6,sigma_5@206.6,sigma_6@206.6,sigma_7@206.6,sigma_8@206.6,sigma_9@206.6,sigma_10@206.6
//different energy is seperated to different matrix
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH

//ecm=206.6GeV Matrix:
-0.0591744,-0.00159428,-0.00207259,-0.00266859,-0.00330872,-0.00411951,-0.00521503,-0.0066866,-0.00884301,-0.0121603,-0.0177295
0.0142301,0.000678185,0.000748778,0.000861603,0.000982385,0.00114171,0.00136447,0.00166356,0.00210418,0.00278026,0.00386387
0.0695927,0.00188672,0.00243718,0.0031312,0.00388128,0.00483536,0.00612672,0.00786208,0.0104031,0.0143075,0.0208562
-0.00146039,-5.67787e-05,-6.56555e-05,-7.83137e-05,-9.1975e-05,-0.000109766,-0.000134366,-0.00016754,-0.000216436,-0.00029175,-0.000415963
-0.011361,-0.00139114,-0.00128848,-0.00129183,-0.00131887,-0.00138623,-0.00149615,-0.00161772,-0.00175183,-0.00186562,-0.00169907
0.000978311,7.2674e-05,7.76207e-05,8.58781e-05,9.33955e-05,0.000102357,0.000114082,0.000128041,0.000147174,0.000174464,0.000207357
0.026168,0.000280659,0.000577003,0.000887199,0.00120614,0.00159399,0.00211014,0.0028154,0.00387197,0.00554477,0.00852176
-1.60893,-0.0463438,-0.0616394,-0.072752,-0.0909912,-0.111234,-0.140612,-0.175484,-0.241655,-0.329921,-0.482687
-1.62447,0.137818,0.11213,0.0687274,0.0370217,-0.00695562,-0.0599872,-0.131595,-0.250558,-0.435773,-0.763548
-3.06802,0.0616419,0.0183595,-0.0116015,-0.0681321,-0.124718,-0.196778,-0.30338,-0.47651,-0.717555,-1.13778
0,0,0,0,0,0,0,0,0,0,0
3.21729,0.0922503,0.118211,0.148015,0.181314,0.23031,0.277132,0.358665,0.488718,0.651862,0.963149
-0.33316,-0.194913,-0.18022,-0.159621,-0.148539,-0.134956,-0.109989,-0.0811248,-0.0399718,0.027982,0.179768
0,0,0,0,0,0,0,0,0,0,0
-0.277569,-0.0522956,-0.0527522,-0.0507594,-0.0517992,-0.0485464,-0.0445541,-0.0399283,-0.0354453,-0.0270276,-0.0182463
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.0729907,0.0831029,0.0735393,0.0628614,0.0564232,0.0465666,0.0352086,0.0205236,0.00276666,-0.0252863,-0.0847731
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0

