//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
sigma_WW@189.1,sigma_1@189.1,sigma_2@189.1,sigma_3@189.1,sigma_4@189.1,sigma_5@189.1,sigma_6@189.1,sigma_7@189.1,sigma_8@189.1,sigma_9@189.1,sigma_10@189.1
//different energy is seperated to different matrix
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH

//ecm=189.1 Matrix:
-0.0603936,-0.00170224,-0.00214586,-0.00270645,-0.00334916,-0.00414875,-0.0052366,-0.00669793,-0.00881038,-0.012168,-0.0177252
0.0144074,0.000634669,0.000713526,0.000825619,0.000953283,0.0011131,0.00133405,0.00162964,0.00205358,0.0027205,0.00376779
0.0710586,0.00203226,0.00254425,0.00319659,0.00394719,0.00488371,0.00616042,0.00787703,0.0103592,0.0143041,0.0208315
-0.00148106,-5.3685e-05,-6.289e-05,-7.52682e-05,-8.9494e-05,-0.00010735,-0.000131959,-0.000165117,-0.000213091,-0.000289295,-0.000413421
-0.0111203,-0.0011879,-0.00114586,-0.00116067,-0.00118787,-0.00123349,-0.00130873,-0.00139681,-0.0014906,-0.00157487,-0.00142972
0.000985402,7.14538e-05,7.57327e-05,8.25618e-05,8.94745e-05,9.7358e-05,0.000107758,0.000120365,0.000136628,0.000159594,0.000183012
0.0268318,0.000448957,0.000686318,0.000962382,0.00127559,0.00166244,0.0021867,0.00289944,0.00394754,0.00564554,0.00857866
-1.64023,-0.0473083,-0.05625,-0.0742926,-0.0922045,-0.111389,-0.141416,-0.183149,-0.245584,-0.333104,-0.473901
-1.79416,0.0749257,0.0408031,0.0221341,-0.0119829,-0.0514813,-0.108263,-0.177311,-0.291657,-0.463328,-0.782174
-3.2709,-0.00238308,-0.0334074,-0.0688978,-0.113552,-0.169615,-0.248227,-0.347682,-0.500244,-0.746101,-1.14396
0,0,0,0,0,0,0,0,0,0,0
3.27347,0.0952482,0.11526,0.146602,0.18086,0.223999,0.282735,0.361539,0.481379,0.663832,0.955865
-0.225468,-0.134525,-0.119537,-0.111503,-0.101324,-0.086312,-0.0694053,-0.0452448,-0.00596322,0.0595211,0.19535
0,0,0,0,0,0,0,0,0,0,0
-0.213827,-0.0283142,-0.0286402,-0.0293214,-0.0299091,-0.0290538,-0.0280736,-0.0264119,-0.0240219,-0.0208567,-0.0171404
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.0431065,0.0562332,0.0499408,0.0433651,0.0389783,0.030212,0.0220777,0.0101551,-0.00777299,-0.0349054,-0.089875
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0

