//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
sigma_WW@198.38,sigma_1@198.38,sigma_2@198.38,sigma_3@198.38,sigma_4@198.38,sigma_5@198.38,sigma_6@198.38,sigma_7@198.38,sigma_8@198.38,sigma_9@198.38,sigma_10@198.38
//different energy is seperated to different matrix
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH

//ecm=198.38GeV Matrix:
-0.0601696,-0.00132817,-0.00179009,-0.00229469,-0.00296041,-0.00378522,-0.00500786,-0.00665014,-0.00940576,-0.0141036,-0.0236005
0.0144376,0.000533983,0.000625294,0.00072473,0.0008646,0.00103673,0.00129709,0.00163986,0.00222052,0.00319422,0.00508401
0.0707868,0.00158199,0.00211645,0.00270363,0.00348277,0.00445095,0.00588868,0.00782116,0.0110632,0.016588,0.0277516
-0.00148152,-4.47429e-05,-5.477e-05,-6.57604e-05,-8.08423e-05,-9.95647e-05,-0.000127737,-0.00016537,-0.000229003,-0.000336974,-0.000552145
-0.01144,-0.00106773,-0.00105882,-0.00106977,-0.00113413,-0.00121936,-0.00136171,-0.00151264,-0.00174776,-0.00201264,-0.0020927
0.000994643,5.93599e-05,6.62586e-05,7.30184e-05,8.23459e-05,9.2598e-05,0.000107436,0.000124488,0.000152709,0.000195224,0.000261231
0.0266248,0.000286787,0.000528205,0.000781704,0.00109608,0.00148288,0.00205165,0.00283358,0.00415884,0.00648163,0.0113815
-1.63727,-0.0365315,-0.0504961,-0.0612333,-0.0785313,-0.107433,-0.130827,-0.179625,-0.250802,-0.387815,-0.646171
-1.7043,0.0879046,0.0672333,0.0429701,0.0142816,-0.0220818,-0.0784691,-0.15615,-0.278499,-0.521413,-1.03825
-3.17711,0.024983,-0.000929384,-0.0342009,-0.0751296,-0.133198,-0.211785,-0.332289,-0.512945,-0.839276,-1.53162
0,0,0,0,0,0,0,0,0,0,0
3.27069,0.0731996,0.100807,0.116917,0.158657,0.213101,0.2674,0.35802,0.509847,0.777203,1.2803
-0.293659,-0.135446,-0.125324,-0.120167,-0.109708,-0.103935,-0.0872765,-0.0635154,-0.0277951,0.0495964,0.251249
0,0,0,0,0,0,0,0,0,0,0
-0.253185,-0.0326894,-0.0342356,-0.0347254,-0.0353168,-0.0368948,-0.0344698,-0.0338099,-0.0309417,-0.0286568,-0.0242664
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.059081,0.0572837,0.0522909,0.0470189,0.0401004,0.036836,0.027765,0.0162474,-0.00321557,-0.0350749,-0.118725
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
